,,0
meth-use,oxycontin-use,0.14316176470588235
meth-use,tranquilizer-use,0.4313602941176471
meth-use,tranquilizer-frequency,-1.0487132352941175
meth-use,stimulant-use,0.3309558823529411
meth-use,stimulant-frequency,-8.500367647058823
meth-use,meth-use,0.06904411764705883
meth-use,sedative-use,0.024044117647058827
meth-use,sedative-frequency,-1.2240808823529412
sedative-use,n,-21.49264705882354
sedative-use,alcohol-use,1.1805514705882354
sedative-use,alcohol-frequency,0.08786764705882345
sedative-use,marijuana-use,1.0179411764705883
sedative-use,marijuana-frequency,1.0113970588235293
sedative-use,cocaine-use,0.11580882352941177
sedative-use,crack-use,0.014264705882352941
sedative-use,heroin-use,0.01536764705882353
sedative-use,hallucinogen-use,0.19988970588235289
sedative-use,hallucinogen-frequency,-0.4797794117647058
sedative-use,inhalant-use,0.014154411764705879
sedative-use,pain-releiver-use,0.2781985294117647
sedative-use,pain-releiver-frequency,-0.36176470588235293
sedative-use,oxycontin-use,0.052536764705882345
sedative-use,tranquilizer-use,0.16323529411764706
sedative-use,tranquilizer-frequency,-0.3893382352941175
sedative-use,stimulant-use,0.11033088235294117
sedative-use,stimulant-frequency,-6.244117647058824
sedative-use,meth-use,0.024044117647058827
sedative-use,sedative-use,0.019044117647058822
sedative-use,sedative-frequency,-0.9740808823529411
sedative-frequency,n,8273.788602941177
sedative-frequency,alcohol-use,60.909926470588246
sedative-frequency,alcohol-frequency,106.63786764705883
sedative-frequency,marijuana-use,-82.31268382352943
sedative-frequency,marijuana-frequency,22.242647058823533
sedative-frequency,cocaine-use,-7.218566176470588
sedative-frequency,crack-use,0.5367647058823531
sedative-frequency,heroin-use,-0.19650735294117647
sedative-frequency,hallucinogen-use,-21.688235294117646
sedative-frequency,hallucinogen-frequency,198.5827205882353
sedative-frequency,inhalant-use,-6.751470588235295
sedative-frequency,pain-releiver-use,-21.328676470588235
sedative-frequency,pain-releiver-frequency,-7.786764705882355
sedative-frequency,oxycontin-use,-2.9955882352941177
sedative-frequency,tranquilizer-use,-9.755514705882355
sedative-frequency,tranquilizer-frequency,-4.142463235294119
sedative-frequency,stimulant-use,-9.122794117647057
sedative-frequency,stimulant-frequency,-25.184742647058854
sedative-frequency,meth-use,-1.2240808823529412
sedative-frequency,sedative-use,-0.9740808823529411
sedative-frequency,sedative-frequency,616.7040441176471
